,Artist,Album,Genre,Rating
,Denzel Curry,Melt My Eyez See Your Future,Conscious Hip Hop,9.5
,"Black Country, New Road",Ants From Up There,Art Rock,9.5
,The Weeknd,Dawn FM,Synth Pop,9
,JID,The Forever Story,Hip-Hop,9
,Quadeca,I Didn't Mean To Haunt You,Alternative R&B,9
,Avantdale Bowling Club,TREES,Jazz Rap,8.5
,black midi,Hellfire,Experimental Rock,8.5
,death's dynamic shroud,Darklife,Glitch Pop,8.5
,Djo,DECIDE,Psychadelic Pop,8.5
,Weyes Blood,"And In The Darkness, Hearts Aglow",Dream pop / Art pop,8
,amaii,I've Seen Better Days,Hyperpop,8
,Steve Lacy,Gemini Rights,R&B,8
,Lizzy McAlpine,five seconds flat,Singer-Songwriter,8
,King Gizzard & The Lizard Wizard,"Ice, Death, Planets, Lungs, Mushroom And Lava",Psychadelic / Jazz Rock,8
,Peach Pit,From 2 to 3,Indie Pop,7.5
,"Bladee, Ecco2k",Crest,Cloud Rap / Hyperpop,7.5
,King Gizzard & The Lizard Wizard,Omnium Gatherum,Psychadelic Rock,7.5
,SZA,SOS,R&B,7
,Broken Bells,INTO THE BLUE,Indie/Alternative,7
,Father John Misty,ChloÃ« and the Next 20th Century,Chamber-Pop,7
,Wet Leg,Wet Leg,Indie Rock,7
,Arctic Monkeys,The Car,Baroque Pop,7
,Perfume Genius,Ugly Season,Art Pop,7
,Kendrick Lamar,Mr. Morale & the Big Steppers,Conscious Hip Hop,7
,Vulfpeck,Schvitz,Funk,7
,Laufey,Everything I Know About Love,Jazz / Indie,7
,Harry Styles,Harry's House,Pop,7
,Rex Orange County,WHO CARES?,Indie-Pop,7
,Hippo Campus,LP3,Indie Pop,7